File,Size,BlockSize,CompressionRatio,Time,Memory,Status,Bzip2Ratio,Bzip2Time
alice29.txt,152089,500000,0.324593,0.281039,,OK,0.284057,0.014262
asyoulik.txt,125179,500000,0.360092,0.190918,,OK,0.316099,0.014302
cp.html,24603,500000,0.358940,0.052412,,OK,0.309881,0.011991
fields.c,11150,500000,0.315785,0.032730,,OK,0.272556,0.011673
grammar.lsp,3721,500000,0.407417,0.026395,,OK,0.344800,0.011853
kennedy.xls,1029744,500000,0.266731,2.626181,,OK,0.126517,0.011440
lcet10.txt,426754,500000,0.298437,1.000135,,OK,0.252384,0.010439
plrabn12.txt,481861,500000,0.352212,0.770485,,OK,0.302114,0.011127
ptt5,513216,500000,0.106832,0.174074,,OK,0.096955,0.017430
sum,38240,500000,0.370058,0.179539,,OK,0.337578,0.017473
xargs.1,4227,500000,0.463213,0.030792,,OK,0.416844,0.036801
