File,Size,BlockSize,CompressionRatio,Time,Memory,Bzip2Ratio,Bzip2Time
alice29.txt,152089,500000,0.306091,0.343341,,0.284057,0.024998
asyoulik.txt,125179,500000,0.342925,0.312138,,0.316099,0.018162
cp.html,24603,500000,0.333374,0.090993,,0.309881,0.014349
fields.c,11150,500000,0.298834,0.047024,,0.272556,0.014650
grammar.lsp,3721,500000,0.400161,0.037887,,0.344800,0.016016
kennedy.xls,1029744,500000,0.171383,5.272904,,0.126517,0.018965
lcet10.txt,426754,500000,0.000000,5.297712,,0.252384,0.032967
plrabn12.txt,481861,500000,0.000000,2.882273,,0.302114,0.018135
ptt5,513216,500000,0.000000,3.325012,,0.096955,0.017429
sum,38240,500000,0.361036,0.198893,,0.337578,0.019870
xargs.1,4227,500000,0.467708,0.053167,,0.416844,0.022330
